PLA_type,  MLO_phr,  wool_phr,  ca_phr,  ca_type,tensile strength,elongation at brake,Young modulus,Flexural resistance,Flexural modulus,  hardness,  impact,PLA Tg,PLA Tcc,PLA Tm,PLA Xc%,T5,Tmax,Mass loss 300,Mass loss 350
6210D,10,1, 2.5, c, 37.4, 18.57, 2120.8, 65.9, 2594.9,80, 10.5,60.8,106.8,170.1,14.10,314.7,359.3,3.30,27.60
6210D,10,1, 2.5, c, 39.27, 18.94, 2204, 51.7, 2831.1,78, 16.25,60.7,105.6,169.8,13.70,310.5,358.1,2.10,21.10
6210D,10,1, 2.5, c, 38.89, 21, 2234.5, 48.2, 2935.7,80, 14,60.9,108.0,170.4,14.50,319.9,360.5,4.50,34.10
6210D,10,1, 2.5, c, 39.47, 14.23, 2306.6, 65.9, 2594.9,81, 14.75,60.8,106.8,170.1,14.10,314.7,359.3,3.30,27.60
6210D,10,1, 2.5, c, 39.79, 17.86, 2123.4, 51.7, 2831.1,80, 13,60.7,105.6,169.8,13.70,310.5,358.1,2.10,21.10
6210D,10,1, 2.5, c, 37.4, 18.57, 2120.8, 48.2, 2935.7,81, 10.5,60.9,108.0,170.4,14.50,319.9,360.5,4.50,34.10
6210D,10,1, 2.5, c, 39.27, 18.94, 2204, 55.3, 2787.2,81, 16.25,60.8,106.8,170.1,14.10,314.7,359.3,3.30,27.60
6210D,10,5, 0, 0, 31.25, 15.37, 2006.1, 39.7, 2625.4,78, 10,60.1,104.1,169.4,20.20,305.7,361.0,4.10,29.80
6210D,10,5, 0, 0, 31.21, 12.63, 2126.6, 42.5, 3011.7,75, 14.5,59.8,103.6,168.3,19.70,302.2,360.0,3.30,26.30
6210D,10,5, 0, 0, 25.6, 4.14, 1483.2, 39.4, 2980.1,77, 14.5,60.4,104.6,170.5,20.70,309.2,362.0,4.90,33.30
6210D,10,5, 0, 0, 27.65, 10.83, 1708.7, 39.7, 2625.4,78, 13.75,60.1,104.1,169.4,20.20,305.7,361.0,4.10,29.80
6210D,10,5, 0, 0, 31.07, 12, 1881.9, 42.5, 3011.7,77, 11.75,59.8,103.6,168.3,19.70,302.2,360.0,3.30,26.30
6210D,10,5, 0, 0, 31.25, 15.37, 2006.1, 39.4, 2980.1,79, 10,60.4,104.6,170.5,20.70,309.2,362.0,4.90,33.30
6210D,10,5, 0, 0, 31.21, 12.63, 2126.6, 39.7, 2625.4,77, 14.5,60.1,104.1,169.4,20.20,305.7,361.0,4.10,29.80
6210D,10,5, 0, 0, 25.6, 4.14, 1483.2, 42.5, 3011.7,76, 14.5,59.8,103.6,168.3,19.70,302.2,360.0,3.30,26.30
6210D,10,5, 0, 0, 27.65, 10.83, 1708.7, 39.4, 2980.1,78, 13.75,60.4,104.6,170.5,20.70,309.2,362.0,4.90,33.30
6210D,10,5, 0, 0, 31.07, 12, 1881.9, 40.5, 2872.4,76, 11.75,60.1,104.1,169.4,20.20,305.7,361.0,4.10,29.80
